STREET_NAME,LEFT_LOW,LEFT_HIGH,RIGHT_LOW,RIGHT_HIGH,DAY,HOOD,ZIP,DIVISION,ST_NM_BASE
43 1/2 ST,1,117,2,116,FRI,Central Lawrence,15201,CENTRAL,43 1/2
43 1/2 ST,119,159,118,158,FRI,Central Lawrence,15201,CENTRAL,43 1/2
43 1/2 ST,160,199,160,199,FRI,Central Lawrence,15201,CENTRAL,43 1/2
S 10TH ST,34,38,35,47,THU,Southside Flats,15203,SOUTHERN,10TH
S 10TH ST,40,48,49,53,THU,Southside Flats,15203,SOUTHERN,10TH
S 10TH ST,50,58,55,59,THU,Southside Flats,15203,SOUTHERN,10TH
S 10TH ST,94,98,97,99,THU,Southside Flats,15203,SOUTHERN,10TH
S 10TH ST,102,112,103,113,THU,Southside Flats,15203,SOUTHERN,10TH
S 11TH ST,2,38,1,43,THU,Southside Flats,15203,SOUTHERN,11TH
S 11TH ST,40,66,45,65,THU,Southside Flats,15203,SOUTHERN,11TH
S 11TH ST,68,92,67,85,THU,Southside Flats,15203,SOUTHERN,11TH
S 11TH ST,94,108,87,111,THU,Southside Flats,15203,SOUTHERN,11TH
S 11TH ST,110,126,113,129,THU,Southside Flats,15203,SOUTHERN,11TH
S 11TH ST,128,198,131,199,THU,Southside Flats,15203,SOUTHERN,11TH
S 12TH ST,2,30,1,31,THU,Southside Flats,15203,SOUTHERN,12TH
S 12TH ST,46,66,45,53,THU,Southside Flats,15203,SOUTHERN,12TH
S 12TH ST,68,70,55,69,THU,Southside Flats,15203,SOUTHERN,12TH
S 12TH ST,72,92,71,99,THU,Southside Flats,15203,SOUTHERN,12TH
S 12TH ST,94,108,101,107,THU,Southside Flats,15203,SOUTHERN,12TH
S 12TH ST,110,124,109,125,THU,Southside Flats,15203,SOUTHERN,12TH
S 12TH ST,126,140,127,141,THU,Southside Flats,15203,SOUTHERN,12TH
S 12TH ST,142,198,143,199,THU,Southside Flats,15203,SOUTHERN,12TH
S 13TH ST,2,34,1,37,THU,Southside Flats,15203,SOUTHERN,13TH
S 13TH ST,36,44,39,45,THU,Southside Flats,15203,SOUTHERN,13TH
S 13TH ST,46,54,47,57,THU,Southside Flats,15203,SOUTHERN,13TH
S 13TH ST,66,80,71,93,THU,Southside Flats,15203,SOUTHERN,13TH
